"도시별","지출목적별",2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"대구광역시","12.1 미용용품 및 미용 서비스",86.615,89.121,92.987,95.922,96.334,96.345,97.475,98.756,100.00,101.79
"대구광역시","12.3 기타 개인용품",76.653,81.016,85.420,92.114,94.393,96.517,97.635,99.751,100.00,99.06
"대구광역시","12.4~7 기타서비스",81.666,78.741,78.766,79.694,86.854,93.889,94.170,96.171,100.00,103.76
"인천광역시","0 총지수",91.542,92.533,93.832,94.760,95.571,97.383,98.960,99.222,100.00,102.62
"인천광역시","01 식료품 및 비주류음료",85.696,86.812,86.704,87.909,89.636,92.380,95.678,95.909,100.00,106.26
"인천광역시","01.1 식료품",85.301,86.368,86.187,87.368,89.166,92.060,95.541,95.697,100.00,106.43
"인천광역시","01.2 비주류 음료",92.306,94.223,95.238,96.894,97.313,97.345,97.840,99.187,100.00,103.89
"인천광역시","02 주류 및 담배",63.042,63.960,63.865,97.344,97.875,99.047,99.347,100.058,100.00,100.65
"인천광역시","02.1 주류",87.059,90.885,90.831,91.364,93.080,96.853,97.848,100.199,100.00,101.80
"인천광역시","02.2 담배",56.385,56.440,56.331,100.000,100.000,100.000,100.000,100.000,100.00,100.00
"인천광역시","03 의류 및 신발",88.934,91.332,94.817,95.995,97.730,98.876,99.927,99.382,100.00,100.48
"인천광역시","03.1 의류",88.654,91.758,95.427,96.688,98.264,99.482,100.362,99.529,100.00,100.32
"인천광역시","03.2 신발",90.325,88.809,91.283,92.009,94.561,95.309,97.415,98.507,100.00,101.39
"인천광역시","04 주택, 수도, 전기 및 연료",91.141,94.113,97.345,96.656,95.736,96.900,97.721,99.072,100.00,101.56
"인천광역시","04.1 주택임차료",87.791,89.072,91.300,94.264,96.230,98.009,99.211,99.562,100.00,101.49
"인천광역시","04.3 주거시설 유지 · 보수",75.947,77.977,79.513,83.249,85.176,88.464,94.492,96.476,100.00,105.57
"인천광역시","04.4 수도 및 주거관련 서비스",72.983,76.908,80.126,83.459,88.262,89.914,92.888,95.768,100.00,104.42
"인천광역시","04.5 전기, 가스 및 기타연료",119.279,125.592,131.532,118.466,104.747,103.484,99.819,101.818,100.00,97.20
"인천광역시","05 가정용품 및 가사 서비스",88.312,88.234,90.511,92.843,94.240,94.963,97.418,99.698,100.00,102.12
"인천광역시","05.1 가구, 가사비품 및 카페트",80.748,79.414,79.978,81.778,86.028,88.858,93.760,99.622,100.00,104.49
"인천광역시","05.2 가정용 섬유제품",94.249,94.564,93.445,93.041,93.666,94.704,95.652,97.094,100.00,100.94
"인천광역시","05.3 가정용 기기",91.019,92.368,95.241,98.405,100.162,100.436,100.981,101.568,100.00,99.92
"인천광역시","05.4 주방용품 및 가정용품",86.009,87.078,89.361,94.663,94.857,94.886,95.876,98.506,100.00,100.04
"인천광역시","05.5 가정 · 정원용 공구 및 장비",92.831,99.694,101.009,98.611,99.174,100.576,101.390,100.049,100.00,105.74
"인천광역시","05.6 일상 생활용품 및 가사 서비스",89.693,86.860,90.916,92.657,91.647,90.938,95.560,98.242,100.00,103.95
"인천광역시","06 보건",94.737,94.695,95.429,96.585,97.362,98.073,97.715,98.346,100.00,100.23
"인천광역시","06.1 의료용품 및 장비",95.171,95.862,97.252,98.815,98.712,98.132,97.194,98.670,100.00,99.04
"인천광역시","06.2 외래환자 서비스",93.496,92.330,92.489,93.606,94.842,96.146,96.884,97.512,100.00,101.74
